,BPT,WHAN,Z_1,mass_stellar_percentile50,T_C_ISM_percentile16,T_C_ISM_percentile50,T_C_ISM_percentile84,T_W_BC_percentile16,T_W_BC_percentile50,T_W_BC_percentile84,SFR_0_1Gyr_percentile16,SFR_0_1Gyr_percentile50,SFR_0_1Gyr_percentile84,ager_percentile50,P100_flux,P100_fluxerr,SurfaceDensity,SurfaceDensityErr,SurfaceDensityFlag
1023,AGNX,LLR,0.1987,11.0,17.438,20.538,23.138,34.038,43.688,54.963,0.087,0.222,0.307,9.572,0.024122618,0.020022526,-999.0,-999.0,-999.0
1024,UNCX,NER,0.2204,10.77,15.938,18.188,21.263,34.538,44.663,54.813,-1.083,-0.468,-0.148,9.602,0.0071281977,0.019625375,-999.0,-999.0,-999.0
1025,AGNXY,sAGN,0.2698,10.73,18.538,21.138,23.288,50.963,57.013,58.988,1.332,1.697,1.702,9.302,0.014077815,0.097178325,-999.0,-999.0,-999.0
1026,SFX,UNC,0.1889,10.8,16.163,18.438,21.463,34.763,45.613,55.288,0.137,0.292,0.377,9.357,0.0034447084,0.021957895,-999.0,-999.0,-999.0
1027,NOEL,NER,0.1885,10.7,16.038,18.663,22.313,34.388,44.238,54.813,-0.068,0.067,0.172,9.637,0.022003826,0.02666311,-999.0,-999.0,-999.0
1028,UNCXY,sAGN,0.2025,10.67,17.888,21.413,23.163,53.738,57.888,59.513,1.197,1.212,1.242,9.257,0.08039245,0.016822394,-999.0,-999.0,-999.0
1029,NOEL,NER,0.2056,10.45,15.288,16.238,18.113,35.113,44.313,54.688,-0.958,-0.673,-0.303,9.387,0.017262798,0.018176787,-999.0,-999.0,-999.0
1030,AGNX,LLR,0.1067,10.48,16.138,18.513,21.638,35.088,45.438,55.738,-1.663,-1.163,-0.933,9.712,0.039305564,0.014160818,-999.0,-999.0,-999.0
1031,SFX,UNC,0.2454,10.65,19.438,21.563,23.513,34.863,44.838,54.638,0.827,0.897,0.967,9.207,0.034370326,0.016486777,-999.0,-999.0,-999.0
1032,UNCXY,sAGN,0.2645,10.65,19.938,22.238,23.913,32.013,43.088,57.388,1.132,1.232,1.422,9.132,0.0799895,0.014786087,-999.0,-999.0,-999.0
1033,UNCX,NER,0.2204,10.81,15.263,16.088,17.713,35.513,45.888,55.488,-0.738,-0.213,0.067,9.622,1.6664866e-05,0.026479881,-999.0,-999.0,-999.0
1034,UNCXY,SF,0.0422,10.01,22.688,22.688,22.688,59.488,59.488,59.488,0.247,0.247,0.267,9.062,0.3581214,0.035149757,-999.0,-999.0,-999.0
1035,SFX,sAGN,0.2696,10.68,17.513,20.488,23.288,34.563,44.313,54.388,0.677,0.767,0.842,9.257,0.012568297,0.018445773,-999.0,-999.0,-999.0
