SPECID_x,CATAID_1,SURVEY_x,Z,BPT,WHAN,OIIIR_FLUX_ERR,OIIIR_FLUX,SN_OIII
G09_Y2_029_112,621987,GAMA,0.19263767,SFGX,sAGN,10.089566,-40.296955,-3.9939235245599263
G09_Y2_034_349,346931,GAMA,0.27473494,NOEL,NER,3.949953,-8.182315,-2.0714968000885072
G09_Y2_042_263,419518,GAMA,0.28597698,NOEL,NER,2.5094163,-7.1326256,-2.842344492621651
G09_Y3_009_214,202360,GAMA,0.03537771,AGNX,LLR,31.369856,-132.17216,-4.213349273901672
G09_Y4_201_103,3588267,GAMA,0.17526132,NOEL,NER,6.261257,-13.227642,-2.1126176421124385
G09_Y4_201_342,3907947,GAMA,0.20072113,NOEL,LLR,5.8680005,-15.956104,-2.7191722291093874
G09_Y4_217_363,3601467,GAMA,0.108078144,UNCX,ELR,44.389664,-113.90706,-2.5660716873189218
G09_Y4_219_381,3607998,GAMA,0.0681387,UNCX,LLR,37.85305,-128.95828,-3.4068134536054555
G09_Y6_060_163,203979,GAMA,0.29875994,NOEL,NER,11.302305,-24.505486,-2.1681848083200728
G12_Y1_AS2_028,136554,GAMA,0.26713353,NOEL,NER,8.241108,-29.196459,-3.542783203423617
G12_Y1_AT_224,609171,GAMA,0.1502864,NOEL,NER,15.88851,-42.020607,-2.6447166537327917
G12_Y1_AX1_057,21936,GAMA,0.09920725,NOEL,LLR,7.539108,-17.873062,-2.370713087012416
G12_Y1_BN1_135,53915,GAMA,0.2124308,NOEL,NER,4.85724,-11.925853,-2.4552735709991684
G12_Y1_BS1_241,30520,GAMA,0.31727734,UNCX,ELR,5.203399,-15.947607,-3.0648441528316392
G12_Y1_BS2_249,534911,GAMA,0.26638293,NOEL,NER,7.1790004,-22.32943,-3.1103814954516507
G12_Y1_BX1_166,22123,GAMA,0.13363494,UNCX,LLR,4.226964,-25.146587,-5.949089464684346
G12_Y1_CS2_118,137171,GAMA,0.13631077,NOEL,LLR,24.020477,-51.386364,-2.139273254232212
G12_Y1_CS2_339,535421,GAMA,0.17688008,UNCX,ELR,6.0723057,-12.674913,-2.0873311763602413
G12_Y1_CX2_193,272084,GAMA,0.23933221,NOEL,NER,3.9720492,-9.121629,-2.2964541828938074
G12_Y1_DN1_274,7619,GAMA,0.22857983,NOEL,LLR,4.951567,-13.48808,-2.7240023208814503
G12_Y1_DND1_072,560089,GAMA,0.22339147,NOEL,LLR,4.685659,-28.529121,-6.088603758830935
G12_Y1_DND1_177,54470,GAMA,0.23605129,NOEL,LLR,5.066921,-14.963385,-2.953151430622266
G12_Y1_DS1_302,31162,GAMA,0.17924175,SFGX,sAGN,4.9188423,-12.76744,-2.595618891868113
G12_Y1_DS2_344,40001,GAMA,0.19435106,UNCX,LLR,3.783221,-8.005208,-2.1159768356117707
G12_Y1_DS2_373,31322,GAMA,0.12876211,UNCX,LLR,5.0952134,-16.02251,-3.1446200074760364
G12_Y1_EN1_053,584883,GAMA,0.16762272,UNCX,NER,5.7868357,-11.872969,-2.051720424687364
G12_Y1_ES1_153,137762,GAMA,0.25295743,NOEL,LLR,4.817247,-21.173529,-4.3953588014066955
G12_Y1_ES2_179,144284,GAMA,0.2289745,NOEL,LLR,3.2624366,-11.863844,-3.6364979475769736
G12_Y1_FT_227,585460,GAMA,0.15868251,UNCX,ELR,7.8873997,-19.683403,-2.4955503396131933
G12_Y1_GN1_106,561024,GAMA,0.18058932,AGNX,LLR,6.8589807,-19.698895,-2.871985774795955
G12_Y1_GN1_280,85475,GAMA,0.17121956,NOEL,LLR,7.2885528,-24.721834,-3.3918714288521037
G12_Y1_GS1_056,145119,GAMA,0.28916526,NOEL,NER,3.6922166,-22.867476,-6.193427547018774
G12_Y1_GS2_145,185921,GAMA,0.28406397,NOEL,NER,5.860603,-26.552992,-4.530761083799739
G12_Y1_IS2_019,145697,GAMA,0.29130307,NOEL,NER,5.788712,-11.634586,-2.0098747355197495
G12_Y1_ND2_236,609705,GAMA,0.17644934,NOEL,NER,6.9266267,-16.597952,-2.3962532873324904
G12_Y1_ND6_076,586373,GAMA,0.18403798,NOEL,NER,4.3520894,-11.864086,-2.726066702581983
G12_Y2_022_011,186815,GAMA,0.12154515,SFGX,UNC,1.2685161,-4.9991813,-3.940967954604597
G12_Y3_007_102,8885,GAMA,0.311634,NOEL,LLR,2.3494153,-12.37577,-5.267595729030964
